zotu,taxid,unique_hits,pident_mean,pident_median,pident_min,pident_max,qcov_mean,qcov_median,qcov_min,qcov_max,domain,kingdom,phylum,class,order,family,genus,species,taxid_rank,nec_01,nec_02,pcr_ntc1,pcr_ntc2,pcr_ntc3,pcr_ntc4,rme_01,rme_02,rme_03,rme_04,rme_05,rme_06,rme_07,rme_08,rme_09,rme_10,rme_11,rme_12,rme_13,rme_14,rme_15,rme_16,rme_17,rme_18,rme_19,rme_20,rme_21,rme_22,rme_23,rme_24,rme_25,rme_26,rme_27,rme_28,rme_29,rme_30,rme_31,rme_32,rme_33,rme_34,rme_35,rme_36,rme_37,rme_38,rme_39,rme_40,rme_41,rme_42,rme_43,rme_44,rme_45,rmep_16,rmep_17,rmep_18,rmep_19,rmep_20,rmep_21,rmep_22,rmep_23,rmep_25,rmep_26,rmep_27,rmep_28,rmep_29,rmep_30,rmep_31,rmep_32,rmep_33,rmep_34,rmep_36,rmep_37,rmep_38,rmep_39,rmep_40,rmep_41,rmep_42,rmep_43,rmep_44,rmep_45
Zotu2636,6125,41,98.09529268292683,98.238,96.916,98.238,94.41463414634147,95,91,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,LCA_dropped,LCA_dropped,LCA_dropped,order,0,0,0,0,0,0,0,1,5,3,2,28,13,0,4,1,3,1,5,0,0,7,1,7,1,1,0,1,1,0,5,0,0,0,25,13,5,4,0,9,0,0,6,5,0,0,16,0,26,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,7,0,0,0,0,19,0
Zotu2637,6125,41,97.1620731707317,97.059,95.798,98.611,98.6829268292683,100,91,100,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,LCA_dropped,LCA_dropped,LCA_dropped,order,0,0,0,0,0,0,0,0,2,1,1,23,10,0,3,0,1,1,8,0,0,4,0,4,2,1,1,1,2,0,0,2,0,0,24,17,1,2,1,4,0,2,2,16,0,0,24,0,52,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,8,0,0,0,0,10,0
Zotu2638,6125,41,97.52060975609756,97.479,96.218,98.611,98.6829268292683,100,91,100,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,LCA_dropped,LCA_dropped,LCA_dropped,order,0,0,0,0,0,0,0,0,3,3,3,21,8,1,3,0,3,1,0,0,0,4,0,13,2,1,1,1,4,0,4,3,2,0,19,20,0,3,0,3,0,4,2,9,0,0,14,0,28,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,7,0,0,0,0,13,0
Zotu2639,46736,80,97.0674625,97.021,95.745,99.061,98.475,100,82,100,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,0,2,12,21,1,15,2,4,2,0,2,3,0,0,11,0,3,0,0,3,1,1,0,10,12,1,0,14,1,0,15,10,0,0,4,13,1,0,7,40,0,0,4,16,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0
Zotu2640,40674,1000,98.763726,98.76,98.76,99.174,100,100,100,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,1,5,3,0,0,1,6,7,0,0,0,0,0,1,4,0,0,4,2,14,2,15,7,3,0,2,1,21,0,3,1,0,0,0,25,0,1,0,27,1,2,2,3,1,3,4,0,5,0,0,0,13,9,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,49,3
Zotu2641,6125,41,97.52060975609756,97.479,96.218,98.611,98.6829268292683,100,91,100,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,LCA_dropped,LCA_dropped,LCA_dropped,order,0,0,0,0,0,0,1,2,5,4,2,38,14,0,3,1,1,0,0,0,0,7,1,7,5,1,4,1,3,0,2,3,0,0,13,10,3,3,1,4,0,1,5,5,0,0,16,0,57,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,2,0,0,0,0,5,0
Zotu2642,40674,1000,98.718427,98.718,98.718,99.145,97,97,97,97,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,0,5,2,0,0,0,6,4,0,4,0,4,0,1,2,0,1,7,3,2,0,25,5,5,0,0,4,9,0,3,1,0,0,1,15,2,0,0,15,2,1,1,4,3,4,2,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80,1
Zotu2643,46736,80,97.099525,97.321,95.833,97.653,94.225,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,0,2,6,23,2,16,2,2,6,0,3,8,0,0,4,0,5,0,1,3,1,1,0,8,11,3,0,20,0,1,17,7,0,0,0,15,2,0,2,46,0,1,7,6,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0
Zotu2644,46736,77,96.6631948051948,96.596,95.319,98.592,98.41558441558442,100,82,100,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,1,0,4,2,23,4,14,0,4,1,2,7,11,0,0,9,1,8,1,3,4,1,5,0,13,11,1,0,20,0,0,22,6,0,0,2,17,0,0,4,27,0,0,9,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0,8,0,1,0,0,0,0,4,0
Zotu2645,46736,87,96.38094252873563,96.596,94.894,98.122,98.643678160919535,100,82,100,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,0,0,2,25,2,15,1,2,0,0,6,5,0,0,5,0,9,0,1,1,0,1,0,11,8,1,0,18,0,0,15,6,0,0,4,13,0,0,7,39,0,2,13,7,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,8,0,3,0,0,0,0,4,0
